pl,v,markets,zip
0.794701986754967,19.1169977924945,2.0,15290.0
0.439189189189189,9.67342342342342,1.0,15290.0
2.05396697543294,39.9113975030205,5.0,15290.0
1.78448867536033,33.7336993822924,4.0,15290.0
2.06929740134745,46.9682386910491,5.0,15219.0
2.45454545454545,33.75,5.0,15219.0
4.79683972911964,34.7911963882619,9.0,15219.0
3.78343118069145,30.223961730811,8.0,15219.0
4.83641536273115,35.1635846372688,9.0,15219.0
3.0788433534429,48.3045558560433,7.0,15203.0
1.67648391481649,6.84186678749434,4.0,15219.0
2.51665433012583,11.1769059955588,6.0,15219.0
2.50368188512518,11.119293078056,6.0,15219.0
3.07692307692308,12.2267206477733,7.0,15219.0
3.07692307692308,12.2267206477733,7.0,15219.0
3.07692307692308,12.2267206477733,7.0,15219.0
2.93436293436293,11.6602316602317,6.0,15219.0
1.86522262334537,9.08543922984356,4.0,15219.0
2.24266820011501,8.68315123634273,5.0,15219.0
2.6984126984127,11.984126984127,6.0,15219.0
1.52892561983471,6.2396694214876,3.0,15219.0
2.5507614213198,21.0659898477157,6.0,15220.0
1.95185426154847,16.9997211636769,4.0,15220.0
2.32531631141001,17.8844181009917,5.0,15220.0
2.15020255531318,17.2223953464215,5.0,15220.0
3.2,27.15,7.0,15290.0
2.77142857142857,23.8857142857143,6.0,15290.0
2.45,21.95,5.0,15290.0
1.19760479041916,24.2182302062542,3.0,15233.0
0.603174603174603,11.6507936507937,1.0,15233.0
2.46744345442084,35.195339273475,5.0,15233.0
1.76991150442478,24.3960774934226,4.0,15233.0
2.71614384085692,43.5348125478194,6.0,15290.0
2.71614384085692,42.8844682478959,6.0,15290.0
2.71614384085692,42.8844682478959,6.0,15290.0
3.15962248666393,39.3926959376282,7.0,15290.0
3.22851153039832,40.251572327044,7.0,15290.0
3.43992248062015,43.75,7.0,15290.0
2.26843100189036,29.2690611216131,5.0,15290.0
2.23048327137546,28.8413878562577,5.0,15290.0
2.16617210682493,26.7062314540059,5.0,15290.0
1.99859747545582,34.4670406732118,4.0,15290.0
1.99859747545582,34.4670406732118,4.0,15290.0
1.99859747545582,33.6255259467041,4.0,15290.0
2.20385674931129,35.7820630547903,5.0,15290.0
3.05376344086022,50.4086021505376,7.0,15290.0
2.86290322580645,47.2983870967742,6.0,15290.0
3.10483870967742,41.1290322580645,7.0,15290.0
0.272959183673469,2.22959183673469,1.0,15212.0
1.80387012135126,16.1036405378813,4.0,15213.0
1.6969696969697,11.5454545454545,4.0,15213.0
1.63558106169297,11.506456241033,4.0,15213.0
3.45572354211663,26.6738660907127,7.0,15290.0
1.84871918801353,17.0251329144514,4.0,15220.0
1.59885210618018,15.3325817361894,4.0,15220.0
1.34752952919647,13.0344368657461,3.0,15220.0
3.77444292860391,47.7944520236471,8.0,15212.0
4.66343110360836,22.7263135682633,9.0,15201.0
2.29555236728838,20.0860832137733,5.0,15224.0
3.65384615384615,25.0,8.0,15224.0
4.0,26.0,8.0,15224.0
3.36,26.0,7.0,15224.0
2.17292892711634,15.1199637845179,5.0,15206.0
2.36220472440945,17.3228346456693,5.0,15206.0
2.75030902348579,19.9938195302843,6.0,15206.0
2.75030902348579,20.0247218788628,6.0,15206.0
2.75030902348579,19.9938195302843,6.0,15206.0
2.36220472440945,17.2974345948692,5.0,15206.0
0.751597143930853,21.7587373167982,2.0,15206.0
1.63908082918207,10.6218865498955,4.0,15206.0
3.19428786170613,24.2014280345735,7.0,15206.0
2.75030902348579,20.0247218788628,6.0,15206.0
5.25279054497702,27.7216021011162,9.0,15243.0
6.6,35.48,10.0,15106.0
4.10565604364054,38.4151593453919,8.0,15202.0
4.09859558612783,40.6993407853253,8.0,15202.0
3.05935141749949,33.1021823373445,7.0,15202.0
4.58259325044405,45.8614564831261,9.0,15202.0
4.43383356070941,54.0245566166439,9.0,15202.0
1.01,8.475,2.0,15120.0
4.03555555555556,22.8088888888889,8.0,15205.0
3.30550918196995,22.4974958263773,7.0,15205.0
2.64289785977095,11.4681038503394,6.0,15205.0
2.2710514673352,9.68883645480018,5.0,15205.0
2.61274158911954,11.8007976275693,6.0,15205.0
2.64180264180264,11.2613312613313,6.0,15205.0
2.64180264180264,10.8987308987309,6.0,15205.0
2.64180264180264,10.03367003367,6.0,15205.0
3.3033033033033,15.5021688355022,7.0,15205.0
3.3033033033033,17.8712045378712,7.0,15205.0
3.30352375867592,18.2861719167112,7.0,15205.0
3.15829528158295,19.9835109081684,7.0,15205.0
3.30352375867592,13.4009610250934,7.0,15205.0
2.9698344901228,18.2861719167112,6.0,15205.0
3.50557539537935,14.0878944683332,7.0,15205.0
2.17560217560218,10.7226107226107,5.0,15205.0
1.71570658930792,18.5909656029838,4.0,15205.0
2.63335584064821,16.6914247130317,6.0,15223.0
1.18648439515089,20.2992004126902,3.0,15208.0
1.54232424677188,24.3185078909613,3.0,15208.0
1.54232424677188,28.1922525107604,3.0,15208.0
1.54232424677188,28.1563845050215,3.0,15208.0
1.54232424677188,26.7575322812052,3.0,15208.0
1.84518451845185,31.953195319532,4.0,15208.0
1.68,19.0,4.0,15208.0
6.42023346303502,52.6848249027237,10.0,15234.0
4.92545260915868,35.8359957401491,9.0,15234.0
2.05170668874782,16.376851596283,5.0,15234.0
4.74489795918367,36.1989795918367,9.0,15234.0
2.38943028485757,15.1471139430285,5.0,15136.0
0.95477004941087,5.3941467122767,2.0,15136.0
2.31609019487807,14.7944087338027,5.0,15136.0
2.89256198347107,17.6374130919585,6.0,15136.0
1.80444444444444,18.2488888888889,4.0,15136.0
1.36432236643526,17.5430123754905,3.0,15136.0
3.59152843601896,21.0159952606635,8.0,15136.0
2.04950434835492,14.1154290579578,5.0,15202.0
3.01732528713257,26.0365972357407,7.0,15202.0
2.98794338633584,12.2313471955268,7.0,15209.0
2.61084852577088,11.3511891364694,6.0,15209.0
3.17312179188054,13.560429304713,7.0,15209.0
3.29766536964981,15.9338521400778,7.0,15209.0
3.59358288770053,16.0106951871658,8.0,15209.0
1.85026554737022,11.7440465992805,4.0,15215.0
0.697822720233215,5.01958640794388,2.0,15215.0
0.544662309368192,6.8082788671024,1.0,15104.0
2.03252032520325,17.7845528455285,4.0,15104.0
3.8171818018772,16.4165720093262,8.0,15243.0
3.8171818018772,19.5970586476953,8.0,15243.0
4.42767653758542,18.9137243735763,9.0,15243.0
0.758801325013481,6.41707110392112,2.0,15106.0
0.601808360732738,4.47686707374354,1.0,15106.0
0.377733274719549,2.68483693970921,1.0,15106.0
0.381515491841184,2.72180749157693,1.0,15106.0
3.01744782757441,21.4368799178926,7.0,15136.0
0.645721863995976,2.49416929619975,2.0,15136.0
0.576471788593001,4.40771349862259,1.0,15136.0
0.98242771053831,3.76090883003325,2.0,15136.0
2.85226410321275,15.9688843916013,6.0,15136.0
2.9152807669732,16.1481771342855,6.0,15136.0
2.21190430128329,15.7477268330431,5.0,15225.0
2.775,22.9833333333333,6.0,15136.0
1.17537628953154,4.43655222955071,3.0,15209.0
2.02068114979603,15.5203491129874,4.0,15209.0
1.81649987385418,15.9196030611387,4.0,15209.0
3.46921968293185,16.3990117356393,7.0,15209.0
2.82856440108223,13.5115192260392,6.0,15209.0
